"src","tgt"
"Two young , White males are outside near many bushes .","Zwei junge weiße Männer sind im Freien in der Nähe vieler Büsche ."
"Several men in hard hats are operating a giant pulley system .","Mehrere Männer mit Schutzhelmen bedienen ein Antriebsradsystem ."
"A little girl climbing into a wooden playhouse .","Ein kleines Mädchen klettert in ein Spielhaus aus Holz ."
"A man in a blue shirt is standing on a ladder cleaning a window .","Ein Mann in einem blauen Hemd steht auf einer Leiter und putzt ein Fenster ."
"Two men are at the stove preparing food .","Zwei Männer stehen am Herd und bereiten Essen zu ."
"A man in green holds a guitar while the other man observes his shirt .","Ein Mann in grün hält eine Gitarre , während der andere Mann sein Hemd ansieht ."
"A man is smiling at a stuffed lion","Ein Mann lächelt einen ausgestopften Löwen an ."
"A trendy girl talking on her cellphone while gliding slowly down the street .","Ein schickes Mädchen spricht mit dem Handy während sie langsam die Straße entlangschwebt ."
"A woman with a large purse is walking by a gate .","Eine Frau mit einer großen Geldbörse geht an einem Tor vorbei ."
"Boys dancing on poles in the middle of the night .","Jungen tanzen mitten in der Nacht auf Pfosten ."
"A ballet class of five girls jumping in sequence .","Eine Ballettklasse mit fünf Mädchen , die nacheinander springen ."
"Four guys three wearing hats one not are jumping at the top of a staircase .","Vier Typen , von denen drei Hüte tragen und einer nicht , springen oben in einem Treppenhaus ."
"A black dog and a spotted dog are fighting","Ein schwarzer Hund und ein gefleckter Hund kämpfen ."
"A man in a neon green and orange uniform is driving on a green tractor .","Ein Mann in einer neongrünen und orangefarbenen Uniform fährt auf einem grünen Traktor ."
"Several women wait outside in a city .","Mehrere Frauen warten in einer Stadt im Freien ."
"A lady in a black top with glasses is sprinkling powdered sugar on a bundt cake .","Eine Frau mit schwarzem Oberteil und Brille streut Puderzucker auf einem Gugelhupf ."
"A little girl is sitting in front of a large painted rainbow .","Ein kleines Mädchen sitzt vor einem großen gemalten Regenbogen ."
"A man lays on the bench to which a white dog is also tied .","Ein Mann liegt auf der Bank , an die auch ein weißer Hund angebunden ist ."
"Five people are sitting in a circle with instruments .","Fünf Personen sitzen mit Instrumenten im Kreis ."
"A bunch of elderly women play their clarinets together as they read off sheet music .","Eine Gruppe älterer Frauen spielt zusammen Klarinette von Notenblättern ."
"A large structure has broken and is laying in a roadway .","Ein großes Bauwerk ist kaputt gegangen und liegt auf einer Fahrbahn ."
"A large crowd of people stand outside in front of the entrance to a Metro station .","Eine große Menschenmenge steht außen vor dem Eingang einer Metrostation ."
"A man getting a tattoo on his back .","Ein Mann , der ein Tattoo auf seinem Rücken erhält ."
"Two children sit on a small seesaw in the sand .","Zwei Kinder sitzen auf einer kleinen Wippe im Sand ."
"A man wearing a reflective vest and a hard hat holds a flag in the road","Ein Mann , der eine reflektierende Weste und einen Schutzhelm trägt , hält eine Flagge in die Straße ."
"A person dressed in a blue coat is standing in on a busy sidewalk , studying painting of a street scene .","Eine Person in einem blauen Mantel steht auf einem belebten Gehweg und betrachtet ein Gemälde einer Straßenszene ."
"A man in green pants walking down the road .","Ein Mann in grünen Hosen läuft die Straße entlang ."
"The small child climbs on a red ropes on a playground .","Das kleine Kind klettert an roten Seilen auf einem Spielplatz ."
"You know i am looking like Justin Bieber .","Du weißt , dass ich aussehe wie Justin Bieber ."
"A young man in a black and yellow jacket is gazing at something and smiling .","Ein junger Mann in einer schwarz @-@ gelben Jacke blickt etwas an und lächelt ."
"A man standing at a urinal with a coffee cup .","Ein Mann , der mit einer Tasse Kaffee an einem Urinal steht ."
"Five people walking with a multicolored sky in the background .","Fünf gehende Personen mit einem mehrfarbigen Himmel im Hintergrund ."
"A old man having a beer alone .","Ein alter Mann , der allein ein Bier trinkt ."
"A trained police dog sits next to his handler in front of the police van .","Ein geschulter Polizeihund sitzt neben dem Hundeführer vor dem Polizeitransporter ."
"A person riding a bike on a snowy road .","Eine Person fährt auf einer verschneiten Straße Fahrrad ."
"Five men , uniformly dressed in white shirts , tie and black slacks converse at the back of an open van .","Fünf Männer , die alle weiße Hemden , Krawatten und schwarze Freizeithosen tragen , unterhalten sich hinter einem Lieferwagen ."
"A man with a backwards hat works on machinery .","Ein Mann mit einem nach hinten gerichteten Hut arbeitet an Maschinen ."
"A black woman and a white man working in a factory setting packing jars with candles into boxes .","Eine schwarze Frau und ein weißer Mann arbeiten in einer Fabrikumgebung und packen Gläser mit Kerzen in Kartons ."
"Asian man sweeping the walkway .","Ein asiatischer Mann kehrt den Gehweg ."
"A man leans into a car to talk to the driver , as a man on a bicycle looks on .","Ein Mann lehnt sich in ein Auto , um mit dem Fahrer zu reden , während ein Mann auf einem Fahrrad zusieht ."
"Two young toddlers outside on the grass .","Zwei Kleinkinder im Freien auf dem Gras ."
"People are watching a person in a weird vehicle in a plaza .","Leute sehen einer Person in einem seltsamen Fahrzeug auf einem Platz zu ."
"A man walks by a silver vehicle .","Ein Mann geht an einem silbernen Fahrzeug vorbei ."
"A beautiful bride walking on a sidewalk with her new husband .","Eine schöne Braut geht auf einem Gehweg mit ihrem neuen Ehemann ."
"A little boy playing GameCube at a McDonald 's .","Ein kleiner Junge spielt bei McDonald ' s GameCube ."
